"","time","S","E","I","R"
"977",10.76,114073318.326786,0.178945111794547,7.66309875726863,40.8947798254623
"978",10.77,114062612.223477,0.178015225635631,7.65061754016395,40.9026749806522
"979",10.78,114051907.190726,0.177090798128805,7.63815474400599,40.9105480433919
"980",10.79,114041203.228424,0.176171797163994,7.62571035381959,40.9183990587478
"981",10.8,114030500.336465,0.175258190820017,7.61328435455908,40.9262280716696
"982",10.81,114019798.514741,0.174349947363471,7.60087673110893,40.9340351269909
"983",10.82,114009097.763147,0.173447035247631,7.58848746828447,40.9418202694294
"984",10.83,113998398.081574,0.172549423111347,7.57611655083251,40.9495835435875
"985",10.84,113987699.469915,0.171657079777957,7.56376396343207,40.9573249939526
"986",10.85,113977001.928064,0.170769974254199,7.551429690695,40.9650446648977
"987",10.86,113966305.455914,0.169888075729133,7.53911371716667,40.9727426006815
"988",10.87,113955610.053358,0.169011353573068,7.52681602732661,40.9804188454493
"989",10.88,113944915.720289,0.168139777336495,7.51453660558919,40.9880734432329
"990",10.89,113934222.456599,0.167273316749029,7.50227543630422,40.9957064379514
"991",10.9,113923530.262182,0.166411941718356,7.49003250375764,41.0033178734115
"992",10.91,113912839.136932,0.16555562232918,7.47780779217217,41.0109077933079
"993",10.92,113902149.08074,0.164704328842189,7.46560128570789,41.0184762412236
"994",10.93,113891460.093501,0.163858031693014,7.45341296846293,41.0260232606304
"995",10.94,113880772.175107,0.163016701491203,7.44124282447404,41.0335488948896
"996",10.95,113870085.325451,0.162180309019197,7.42909083771728,41.0410531872518
"997",10.96,113859399.544427,0.161348825231314,7.41695699210861,41.0485361808578
"998",10.97,113848714.831927,0.160522221252734,7.40484127150447,41.0559979187387
"999",10.98,113838031.187846,0.159700468378499,7.39274365970245,41.0634384438167
"1000",10.99,113827348.612075,0.158883538072512,7.38066414044187,41.070857798905
"1001",11,113816667.104508,0.158071401966542,7.36860269740439,41.0782560267084
"1002",11.01,113805986.665039,0.157264031859236,7.35655931421458,41.0856331698239
"1003",11.02,113795307.293561,0.156461399715143,7.34453397444057,41.0929892707407
"1004",11.03,113784628.989966,0.155663477663731,7.3325266615946,41.100324371841
"1005",11.04,113773951.754148,0.15487023799842,7.32053735913362,41.1076385154001
"1006",11.05,113763275.586001,0.15408165317562,7.30856605045989,41.1149317435867
"1007",11.06,113752600.485416,0.153297695813766,7.29661271892152,41.1222040984638
"1008",11.07,113741926.452289,0.152518338692371,7.2846773478131,41.1294556219885
"1009",11.08,113731253.486511,0.151743554751076,7.27275992037621,41.1366863560126
"1010",11.09,113720581.587977,0.150973317088706,7.26086041980004,41.1438963422832
"1011",11.1,113709910.756579,0.150207598962336,7.24897882922195,41.1510856224427
"1012",11.11,113699240.992211,0.149446373786362,7.23711513172799,41.1582542380294
"1013",11.12,113688572.294767,0.148689615131571,7.22526931035351,41.1654022304777
"1014",11.13,113677904.664138,0.147937296724222,7.21344134808366,41.1725296411189
"1015",11.14,113667238.100219,0.147189392445136,7.201631227854,41.179636511181
"1016",11.15,113656572.602904,0.146445876328781,7.18983893255099,41.1867228817893
"1017",11.16,113645908.172085,0.14570672256237,7.17806444501258,41.1937887939671
"1018",11.17,113635244.807655,0.144971905484964,7.1663077480287,41.2008342886354
"1019",11.18,113624582.509509,0.144241399586578,7.15456882434183,41.2078594066138
"1020",11.19,113613921.277539,0.143515179507293,7.14284765664754,41.2148641886207
"1021",11.2,113603261.111639,0.14279322003637,7.13114422759498,41.2218486752736
"1022",11.21,113592602.011703,0.142075496111379,7.11945851978743,41.2288129070896
"1023",11.22,113581943.977623,0.14136198281732,7.10779051578284,41.2357569244854
"1024",11.23,113571287.009293,0.140652655385762,7.09614019809429,41.2426807677783
"1025",11.24,113560631.106607,0.139947489193973,7.08450754919055,41.2495844771857
"1026",11.25,113549976.269458,0.13924645976407,7.07289255149661,41.2564680928262
"1027",11.26,113539322.497739,0.138549542762164,7.0612951873941,41.2633316547198
